transactionId,transactionType,transactionDate,transactionStatus,merchantName,storeName,deviceName,location,totalAmount,cardHolderName,cardType,currencyCode,failureReason
TXN000001,REFUND,2024-12-15 13:05:49,,Chang-Fisher,LLC,POS-1663,Sullivanport,266.33,Heather Snow,RUPAY,GBP,
TXN000002,REFUND,2024-11-16 13:05:49,,Wagner LLC,and Sons,POS-6866,New Laurenside,587.55,Dr. Stephanie Collins,MASTERCARD,EUR,
TXN000003,REFUND,2025-05-08 13:05:49,,"Jones, Jefferson and Rivera",PLC,POS-2553,West Ryanborough,622.19,Karen Grimes,AMEX,EUR,
TXN000004,REFUND,2025-05-29 13:05:49,,Brown-Sellers,Inc,POS-2208,Lake Marytown,899.85,Samantha Cook,AMEX,GBP,
TXN000005,CASHBACK,2025-05-28 13:05:49,,"Nguyen, Harrell and Lee",PLC,POS-6796,East Linda,439.83,Joshua Davis,MASTERCARD,GBP,
TXN000006,REFUND,2024-10-25 13:05:49,,Golden-Bolton,Group,POS-5267,West Andreaville,71.66,Robin Fernandez,VISA,USD,
TXN000007,CASHBACK,2024-12-26 13:05:49,,"Payne, Roberts and Davis",Group,POS-1018,Barbaraport,615.78,Roberto Johnson,AMEX,EUR,
TXN000008,CASHBACK,2025-02-02 13:05:49,,"Green, Jones and Shelton",and Sons,POS-2031,North Megan,199.16,Tammy Fernandez,MASTERCARD,EUR,
TXN000009,PURCHASE,2024-10-13 13:05:49,,Massey-Warren,PLC,POS-8339,Port Jason,100.3,Samantha Barnes,AMEX,GBP,
TXN000010,PURCHASE,2025-02-14 13:05:49,,Hayes-Keller,Ltd,POS-5769,Christopherville,709.5,Mr. Ryan Sanchez,AMEX,EUR,
TXN000011,CASHBACK,2024-10-11 13:05:49,,"Nelson, Thornton and Watson",and Sons,POS-5712,Ronaldton,450.54,Charles Wolfe,RUPAY,INR,
TXN000012,CASHBACK,2025-03-17 13:05:49,,Montoya Ltd,PLC,POS-5756,North Davidborough,192.03,Laura Myers,MASTERCARD,USD,
