transactionId,transactionType,transactionDate,merchantName,storeName,deviceName,location,totalAmount,cardHolderName,cardType,currencyCode,transactionStatus,failureReason
TXN000001,REFUND,2024-12-11 11:46:55,Chang-Fisher,LLC,POS-1663,Sullivanport,266.33,Heather Snow,RUPAY,GBP,SUCCESS,SUCCESS
TXN000002,REFUND,2024-11-12 11:46:55,Wagner LLC,and Sons,POS-6866,New Laurenside,587.55,Dr. Stephanie Collins,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000003,REFUND,2025-05-04 11:46:55,"Jones, Jefferson and Rivera",PLC,POS-2553,West Ryanborough,622.19,Karen Grimes,AMEX,EUR,SUCCESS,SUCCESS
TXN000004,REFUND,2025-05-25 11:46:55,Brown-Sellers,Inc,POS-2208,Lake Marytown,899.85,Samantha Cook,AMEX,GBP,SUCCESS,SUCCESS
TXN000005,CASHBACK,2025-05-24 11:46:55,"Nguyen, Harrell and Lee",PLC,POS-6796,East Linda,439.83,Joshua Davis,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000006,REFUND,2024-10-21 11:46:55,Golden-Bolton,Group,POS-5267,West Andreaville,71.66,Robin Fernandez,VISA,USD,FAILED,Suspicious transaction (anomaly)
TXN000007,CASHBACK,2024-12-22 11:46:55,"Payne, Roberts and Davis",Group,POS-1018,Barbaraport,615.78,Roberto Johnson,AMEX,EUR,FAILED,Suspicious transaction (anomaly)
TXN000008,CASHBACK,2025-01-29 11:46:55,"Green, Jones and Shelton",and Sons,POS-2031,North Megan,199.16,Tammy Fernandez,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000009,PURCHASE,2024-10-09 11:46:55,Massey-Warren,PLC,POS-8339,Port Jason,100.3,Samantha Barnes,AMEX,GBP,SUCCESS,SUCCESS
TXN000010,PURCHASE,2025-02-10 11:46:55,Hayes-Keller,Ltd,POS-5769,Christopherville,709.5,Mr. Ryan Sanchez,AMEX,EUR,SUCCESS,SUCCESS
TXN000011,CASHBACK,2024-10-07 11:46:55,"Nelson, Thornton and Watson",and Sons,POS-5712,Ronaldton,450.54,Charles Wolfe,RUPAY,INR,SUCCESS,SUCCESS
TXN000012,CASHBACK,2025-03-13 11:46:55,Montoya Ltd,PLC,POS-5756,North Davidborough,192.03,Laura Myers,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000013,CASHBACK,2024-08-12 11:46:55,Bass-Wilson,PLC,POS-5260,East Susanburgh,481.77,Karen Acosta,VISA,EUR,SUCCESS,SUCCESS
TXN000014,PURCHASE,2025-06-25 11:46:55,Giles Inc,PLC,POS-2314,Oliverview,899.19,Benjamin Turner,RUPAY,INR,SUCCESS,SUCCESS
TXN000015,CASHBACK,2025-03-16 11:46:55,White-Gordon,Inc,POS-4525,Lake Vanessaborough,896.09,Tanner Harrison,RUPAY,INR,SUCCESS,SUCCESS
TXN000016,REFUND,2024-11-04 11:46:55,"Jackson, Chambers and Levy",Inc,POS-6855,Port Fernando,91.55,Autumn Morse,VISA,GBP,SUCCESS,SUCCESS
TXN000017,CASHBACK,2024-08-26 11:46:55,"Thompson, Ruiz and Ortiz",PLC,POS-6493,Deborahfurt,846.63,Danielle Castro,MASTERCARD,USD,SUCCESS,SUCCESS
